title,genre,episode_range,description,disclaimer
Death Note,"Supernatural, Suspense",Long,"Death Note is a Japanese anime series based on the manga written by Tsugumi Ohba and illustrated by Takeshi Obata. The story follows Light Yagami, a brilliant high school student who discovers a mysterious notebook called the Death Note. This notebook allows its user to kill anyone whose name is written in it, as long as they know the person's face. With the power to eliminate criminals, Light sets out to create a utopia free of crime, assuming the identity of a god-like figure known as Kira.

However, Light's actions attract the attention of a highly intelligent and eccentric detective known as L, who is determined to capture Kira. A high-stakes game of cat and mouse ensues between Light and L, with both trying to outsmart each other. As the series progresses, it explores themes of morality, justice, and the consequences of absolute power.

Death Note is known for its psychological depth, intense mind games, and moral ambiguity.

Total Number of Episodes:
Death Note has a total of 37 episodes.","Features psychological battles and themes surrounding death, morality, and justice. Contains violence and intense psychological elements."
Demon Slayer: Kimetsu no Yaiba,"Action, Supernatural",Long,"Demon Slayer: Kimetsu no Yaiba is a Japanese anime series based on the manga by Koyoharu Gotouge. The story is set in Taisho-era Japan and follows Tanjiro Kamado, a kind-hearted young boy who becomes a demon slayer after his family is slaughtered by demons, and his younger sister Nezuko is turned into a demon. Determined to avenge his family and find a cure for Nezuko, Tanjiro joins the Demon Slayer Corps, an organization dedicated to hunting demons and protecting humanity.

Throughout the series, Tanjiro faces various powerful demons, learns combat techniques, and uncovers the dark history behind the demon epidemic. Along the way, he is joined by fellow demon slayers, including Zenitsu Agatsuma and Inosuke Hashibira, each with their own strengths and personal struggles. The anime is known for its stunning animation, emotional storytelling, and intense action sequences.

Total Number of Episodes:
Season 1 (Demon Slayer: Kimetsu no Yaiba): 26 episodes
Mugen Train Arc (a direct sequel to Season 1): 7 episodes (released as a mini-series)
Season 2 (Entertainment District Arc): 11 episodes
Season 3 (Swordsmith Village Arc): Currently airing, expected to have around 11 episodes
As of now, Demon Slayer has 44 episodes, with more episodes and arcs planned for future seasons.","Contains intense action and violence involving demons. While accessible to most audiences, it includes some graphic depictions of violence."
Dragon Ball,"Action, Adventure, Comedy, Fantasy",Very Long,"Dragon Ball is a Japanese anime series based on the manga written and illustrated by Akira Toriyama. The series follows Goku, a young boy with a tail who is trained in martial arts by his grandfather, Gohan. Goku embarks on an adventure to find the Dragon Balls, seven magical orbs that can summon a dragon capable of granting any wish. Along the way, Goku makes many friends, including Bulma, Yamcha, Krillin, and others, as they face powerful foes and seek to protect Earth from various threats.

The anime covers Goku's early life, his training, and adventures, leading up to major battles, such as the World Martial Arts Tournaments, as well as encounters with various villains, like Emperor Pilaf, King Piccolo, and Tien. The series is famous for its dynamic fight scenes, humor, and iconic characters, and it has become a cornerstone of the action and shonen anime genres.

Total Number of Episodes:
Dragon Ball (original series) has a total of 153 episodes.
The series covers Goku’s childhood up until his early adulthood.
Note: The Dragon Ball franchise has several sequels and spin-offs, including Dragon Ball Z, Dragon Ball Super, and others, which further expand on Goku's adventures.","Contains action, violence, and comedic elements suitable for a broad audience. Some episodes may feature exaggerated action violence."
Erased,"Mystery, Suspense",Short,"""Erased"" (Boku dake ga Inai Machi) is a suspenseful, mystery-filled anime about Satoru Fujinuma, a 29-year-old manga artist with the ability to travel back in time to moments just before a life-threatening event occurs. When his mother is murdered, Satoru's ability unexpectedly sends him 18 years into the past, where he must solve the mystery of his mother's death while also preventing the abduction and murder of his classmates. As Satoru unravels the mystery, he discovers a deeper conspiracy involving childhood trauma.

Total Episodes: 12 episodes.","Contains suspenseful and emotional themes involving murder, child abduction, and trauma. Viewer discretion is advised, especially for sensitive audiences due to disturbing themes related to violence and loss."
Fairy Tail,"Action, Adventure, Fantasy",Very Long,"Fairy Tail is a Japanese anime series based on the manga by Hiro Mashima. The story takes place in a magical world where wizards belong to guilds that take on various jobs and missions. The protagonist, Natsu Dragneel, is a fire dragon slayer who is a member of the Fairy Tail Guild, one of the most famous and powerful guilds in the world. Along with his friends, including Lucy Heartfilia, a celestial spirit mage, Gray Fullbuster, an ice mage, and Erza Scarlet, a skilled warrior, Natsu embarks on numerous adventures, battles powerful enemies, and faces both personal and guild-wide challenges.

The series explores themes of friendship, loyalty, and the bonds formed between the guild members as they grow stronger together. Fairy Tail is known for its action-packed battles, humorous moments, and emotional story arcs.

Total Number of Episodes:
Fairy Tail (Season 1): 175 episodes
Fairy Tail: Final Series: 51 episodes
In total, Fairy Tail has 328 episodes across its main series and the final season.","Contains action, fantasy violence, and occasional fanservice. While generally lighthearted, some scenes may be intense for younger audiences."
Fruits Basket,"Drama, Romance, Supernatural",Long,"Fruits Basket is a Japanese anime series based on the manga by Natsuki Takaya. The story revolves around Tohru Honda, a high school girl who becomes homeless after the death of her mother. She ends up living with the Soma family, only to discover that they are cursed: certain members of the family transform into animals of the Chinese zodiac when they are hugged by someone of the opposite sex. Tohru quickly becomes involved with the Soma family, including the brooding Yuki, the hot-headed Kyo, and the mysterious Shigure.

As Tohru becomes closer to the Somas, she learns more about their painful pasts and the curse that haunts them. The series explores themes of love, acceptance, family, and personal growth as Tohru helps the family members break free from the curse while dealing with her own emotional struggles.

Total Number of Episodes:
Fruits Basket (2001) (original adaptation): 26 episodes
Fruits Basket (2019) (full remake): 63 episodes (split into three seasons: 25 episodes in Season 1, 25 episodes in Season 2, and 13 episodes in Season 3)
In total, Fruits Basket has 89 episodes across both adaptations. The 2019 version is considered the more faithful adaptation of the manga.","Deals with themes of family trauma, romance, and personal growth. Some emotional moments may be intense for viewers sensitive to such themes."
Fullmetal Alchemist,"Action, Adventure, Drama, Fantasy",Very Long,"Fullmetal Alchemist is a Japanese anime series based on the manga by Hiromu Arakawa. The story is set in a world where alchemy is a widely practiced science, and it follows two brothers, Edward and Alphonse Elric, who commit a forbidden alchemical act in an attempt to bring their mother back to life. However, the ritual goes horribly wrong, and Edward loses his arm and leg, while Alphonse loses his entire body, his soul being bound to a suit of armor. The brothers embark on a quest to find the Philosopher's Stone, a powerful artifact that could restore their bodies and fix the damage caused by their failed experiment.

As they travel through the world, they uncover dark secrets about the Philosopher’s Stone, government corruption, and the existence of a powerful military organization. Themes of sacrifice, redemption, and the consequences of their actions are central to the plot.

There are two anime adaptations of Fullmetal Alchemist:

Fullmetal Alchemist (2003): This version follows the early part of the manga closely but diverges into an original storyline after a certain point due to the manga being incomplete at the time.
Fullmetal Alchemist: Brotherhood (2009): A more faithful adaptation that sticks closely to the manga's original story, following the Elric brothers’ journey to its conclusion.
Total Number of Episodes:
Fullmetal Alchemist (2003): 51 episodes
Fullmetal Alchemist: Brotherhood (2009): 64 episodes
In total, there are 115 episodes across both versions. ""Fullmetal Alchemist: Brotherhood"" is generally considered the definitive version, as it adheres more closely to the manga's storyline.","Contains themes of war, sacrifice, and the human condition. May be intense due to action, violence, and emotional themes."
Gintama',"Action, Comedy, Sci-Fi",Long,"Gintama' is the second season of the anime Gintama, which is based on the manga by Hideaki Sorachi. This season continues the story of Gintoki Sakata, a laid-back but skilled samurai living in a world where aliens have taken over feudal Japan. Gintoki, along with his friends Shinpachi Shimura and Kagura, runs the Yorozuya, a freelance business that takes on various odd jobs. The anime is known for its mix of comedy, action, and drama, often parodying other anime, pop culture, and historical events. While it balances humor with serious arcs, Gintama' continues to explore themes of loyalty, friendship, and personal growth.

Gintama' (Season 2) has 51 episodes, which aired from April 2006 to March 2007. It continues the story with more adventures and emotional moments, following the unpredictable and dynamic events of the Gintama universe.","Contains a mix of humor, action, and occasional violence. Suitable for mature audiences due to its parodies and adult themes."
Haikyuu!,Sports,Long,"Haikyuu!! is a Japanese anime series based on the manga by Haruichi Furudate. The story follows Shoyo Hinata, a passionate and determined high school student who becomes inspired to play volleyball after seeing a match on TV, despite being short in stature. He joins his high school’s volleyball team, where he teams up with Kageyama Tobio, a talented but initially temperamental setter. Together, they form a dynamic duo, working to lead their team to success in various competitions.

The series focuses on Hinata's growth as a volleyball player, his relationships with his teammates, and the intense rivalry with other high school volleyball teams. It is filled with thrilling sports action, heartwarming character development, and the importance of teamwork. Haikyuu!! is widely praised for its realistic portrayal of volleyball, its emotional depth, and its well-developed cast of characters.

Total Number of Episodes:
Season 1: 25 episodes
Season 2: 25 episodes
Season 3: 10 episodes
Season 4 (Haikyuu!! To the Top): 25 episodes (split into two parts: Part 1 - 13 episodes, Part 2 - 12 episodes)
Season 5: Announced and planned for release in two parts, but the total number of episodes has yet to be finalized.
In total, Haikyuu!! currently has 85 episodes across 4 seasons, with the fifth season upcoming.","Focuses on sports, friendship, and teamwork with positive and inspiring themes. Suitable for younger audiences."
Hunter x Hunter,"Action, Adventure, Fantasy",Very Long,"Hunter x Hunter is a Japanese anime based on the manga by Yoshihiro Togashi. The story follows Gon Freecss, a young boy who dreams of becoming a Hunter—a special title granted to individuals with exceptional skills. Gon’s primary goal is to find his father, who abandoned him when he was a child in order to pursue his own quest as a Hunter. Along his journey, Gon befriends several companions, including Killua, a former assassin; Leorio, an aspiring doctor; and Kurapika, the last surviving member of his clan. Together, they face dangerous challenges and unravel complex mysteries while participating in the rigorous and perilous Hunter Exams, which serve as a gateway to their ultimate goals.

Hunter x Hunter has two major anime adaptations:
Hunter x Hunter (1999) – 62 episodes, aired from 1999 to 2001. This version covers the early arcs but does not finish the story.
Hunter x Hunter (2011) – 148 episodes, aired from 2011 to 2014. This version covers more of the manga arcs and includes the Chimera Ant arc and the Election arc, making it the more complete adaptation.
In total, Hunter x Hunter has 148 episodes from the 2011 version, which is the most well-known and widely watched.","Features violence, dark themes, and complex moral dilemmas. Contains mature themes and action suitable for older teens and adults."
Jujutsu Kaisen,"Action, Supernatural",Long,"Jujutsu Kaisen is a popular anime series based on the manga written and illustrated by Gege Akutami. It follows Yuji Itadori, a high school student with extraordinary physical abilities, who becomes involved in the world of Jujutsu Sorcery after he swallows a cursed object — a finger belonging to the powerful curse Ryomen Sukuna. He is taken in by the Tokyo Metropolitan Jujutsu Technical College, where he trains under sorcerers like Satoru Gojo to fight cursed spirits and protect others from curses. The series combines intense action, dark themes, and supernatural elements with a focus on teamwork, personal growth, and moral dilemmas.

As of December 2024:
Season 1: 24 episodes
Season 2: 10 episodes (the ""Shibuya Incident"" arc is ongoing)
So, the total number of episodes aired is 34 episodes. However, since Season 2 is ongoing, this number will increase with future episodes.","Contains action, supernatural violence, and dark themes. Viewer discretion is recommended due to intense battle sequences and blood."
Kaguya-sama: Love is War?,"Comedy, Romance",Long,"Kaguya-sama: Love is War is a Japanese anime based on the manga by Aka Akasaka. The story revolves around two brilliant student council members, Kaguya Shinomiya, the wealthy and poised vice president, and Miyuki Shirogane, the hardworking and highly intelligent president. Both are secretly in love with each other but are too proud to confess. Instead, they engage in an elaborate, comedic ""battle"" to make the other confess first. The series is a hilarious mix of romance, psychological warfare, and high school antics, filled with witty exchanges and amusing misunderstandings.

Kaguya-sama: Love is War has 3 seasons:
Season 1 – 12 episodes, aired from January to March 2019.
Season 2 – 12 episodes, aired from April to June 2020.
Season 3 – 13 episodes, aired from April to June 2022.
In total, Kaguya-sama: Love is War has 37 episodes across all seasons. Additionally, a movie Kaguya-sama: Love is War - The First Kiss That Never Ends was released in 2022.",Primarily a romantic comedy with some humorous psychological battles. Some adult humor and references may not be suitable for all ages.
Kaichou wa Maid-sama!,"Comedy, Romance",Medium,"Kaichou wa Maid-sama! is a romantic comedy anime based on the manga by Hiro Fujiwara. The story follows Misaki Ayuzawa, the first female student council president at a previously all-boys high school. Misaki is strict and tough to maintain discipline, but she secretly works part-time at a maid café to support her family. Her secret is discovered by the popular and charming student, Takumi Usui, who starts to take an interest in her. As the story progresses, Misaki and Usui develop a unique relationship, navigating the challenges of love, school life, and Misaki’s secret job.

The anime has 26 episodes in total, which aired from April to September 2010.","Contains romantic and comedic themes, with mild fanservice and situations that may not be suitable for younger viewers."
Kimi ni Todoke,"Drama, Romance",Long,"Kimi ni Todoke is a romantic drama anime based on the manga by Karuho Shiina. The story revolves around Sawako Kuronuma, a shy, misunderstood high school girl with a resemblance to the horror movie character Sadako. Due to her eerie appearance, she is nicknamed ""Sadako"" by her classmates, and as a result, is often isolated. However, her life changes when the popular and friendly boy, Shouta Kazehaya, takes an interest in her and helps her break out of her shell. As Sawako grows more confident, she navigates her feelings for Kazehaya, while also building meaningful friendships.

The anime consists of:
Season 1: 25 episodes (aired from October 2009 to March 2010)
Season 2: 12 episodes (aired from April 2011 to June 2011)
So, the total number of episodes is 37.","A romance focused on high school life with themes of friendship and love. Generally family-friendly, but may include some mild romantic tension."
Kuroko's Basketball,Sports,Medium,"Kuroko's Basketball (also known as Kuroko no Basuke) is a Japanese anime based on the manga by Tadatoshi Fujimaki. The story follows Taiga Kagami, a talented high school basketball player who joins Seirin High School's basketball team. He soon learns that his teammate, Tetsuya Kuroko, was a former member of the ""Generation of Miracles,"" a legendary group of middle school basketball players renowned for their exceptional skills. Kuroko, however, is almost invisible on the court and specializes in making assists rather than scoring. Together, Kagami and Kuroko aim to lead Seirin High to victory and challenge the other members of the Generation of Miracles, each with their own unique talents, in an intense, action-packed journey to the top.

Kuroko's Basketball has 3 seasons:
Season 1 – 25 episodes, aired from April to September 2012.
Season 2 – 25 episodes, aired from October 2013 to March 2014.
Season 3 – 25 episodes, aired from January to June 2015.
In total, Kuroko's Basketball has 75 episodes across all seasons.",Features intense sports action and competition with themes of teamwork and rivalry. Mild violence due to competitive sports.
Mirai Nikki,"Action, Supernatural, Suspense",Medium,"Mirai Nikki (Future Diary) is a psychological thriller and survival game anime based on the manga by Sakae Esuno. The story follows Yukiteru Amano, a lonely and introverted high school student who is given a Future Diary — a phone that predicts the future. He soon learns that he is one of 12 participants in a deadly survival game organized by Deus Ex Machina, the God of Time and Space. Each participant has a Future Diary that grants them a unique power related to their future. Among them is Yuno Gasai, a mysterious and obsessive girl who claims to love Yukiteru and becomes a key player in the game. As the game progresses, the contestants must eliminate each other to survive, leading to shocking twists and intense battles.

The anime has:
Season 1: 26 episodes (aired from October 2011 to April 2012)
OVA: 2 episodes (released in 2013, as a continuation of the story)
The total number of episodes, including the OVA, is 28.","Contains violence, psychological horror, and themes of survival and obsession. Viewer discretion is advised due to graphic content."
My Hero Academia,Action,Very Long,"My Hero Academia is a popular superhero anime based on the manga by Kohei Horikoshi. The story is set in a world where nearly everyone has a Quirk (superpower), except for Izuku Midoriya, a Quirkless boy who dreams of becoming a hero. Despite being born without powers, Midoriya is determined to follow in the footsteps of his idol, All Might, the world's greatest hero. After a chance encounter, All Might passes on his powerful Quirk, One For All, to Midoriya, granting him the ability to attend U.A. High School, a prestigious academy for aspiring heroes. The series follows Midoriya and his classmates as they train to become professional heroes while facing various challenges, villains, and growing threats in their world.

As of December 2024, My Hero Academia has aired:
Season 1: 13 episodes (2016)
Season 2: 25 episodes (2017)
Season 3: 25 episodes (2018)
Season 4: 25 episodes (2019–2020)
Season 5: 25 episodes (2021)
Season 6: 25 episodes (2022–2023)
Season 7: Ongoing, with episodes released in 2024 (expected to have around 25 episodes)
So, the total number of episodes, including all seasons up to Season 6, is 138.","Focuses on action, superheroes, and moral dilemmas. Includes violence and some intense action sequences, suitable for older teens."
Nana,"Drama, Romance",Long,"Nana is a Japanese anime series based on the manga by Ai Yazawa. It follows the lives of two women, both named Nana, who meet by chance on a train to Tokyo. One is a punk rock singer, Nana Osaki, determined to make it big in the music world, while the other, Nana Komatsu, is a sweet, naive girl who moves to the city for love and independence. Their lives become intertwined as they support each other through personal challenges, love, heartbreak, and the ups and downs of their respective careers.

The anime adaptation of Nana has 47 episodes in total. It aired from April 2006 to March 2007.","A drama about love, relationships, and the challenges of adulthood. Deals with emotional and romantic themes, some of which may be mature."
Naruto,"Action, Adventure, Fantasy",Very Long,"Naruto is a Japanese anime based on the manga by Masashi Kishimoto. The story follows Naruto Uzumaki, a young ninja with dreams of becoming the strongest ninja and earning the title of Hokage, the leader of his village. Naruto is an orphan, and his body holds the powerful Nine-Tails Fox, a creature that once attacked the village. Despite being shunned by others, Naruto is determined to prove his worth. The series explores themes of friendship, perseverance, and the challenges Naruto faces as he grows stronger and works to protect his loved ones.

The anime Naruto has a total of 220 episodes, airing from October 2002 to February 2007. The series is followed by a sequel, Naruto: Shippuden, which continues Naruto's journey.","Contains action, ninjutsu, and themes of perseverance and friendship. Mild violence and mature themes suitable for a wide audience."
Natsume's Book of Friends,"Supernatural, Mystery",Long,"Natsume's Book of Friends (Natsume Yuujinchou) is a Japanese anime based on the manga by Yuki Midorikawa. The story follows Takashi Natsume, a high school student who can see spirits, a gift he inherited from his grandmother. Natsume comes into possession of a book that belonged to her, which contains the names of spirits she had controlled. As Natsume encounters various spirits, he decides to return their names to them, offering them freedom, and he builds relationships with both the supernatural and human world. The series explores themes of loneliness, friendship, and personal growth as Natsume navigates his complex life.

Natsume's Book of Friends has 6 seasons:
Season 1 – 13 episodes, aired from July to September 2008.
Season 2 – 13 episodes, aired from July to September 2009.
Season 3 – 13 episodes, aired from January to March 2011.
Season 4 – 13 episodes, aired from January to March 2012.
Season 5 – 11 episodes, aired from October to December 2016.
Season 6 – 11 episodes, aired from April to June 2017.
In total, Natsume's Book of Friends has 73 episodes across all seasons.",A calming and emotional series focused on themes of friendship and spirits. Contains gentle supernatural themes with emotional depth.
Neon Genesis Evangelion,"Action, Drama, Sci-Fi, Suspense",Medium,"Neon Genesis Evangelion is a Japanese anime series created by Hideaki Anno and produced by Studio Gainax. Set in a post-apocalyptic world, the story follows Shinji Ikari, a teenager recruited by a secret organization, NERV, to pilot a giant bio-mechanical robot called an Evangelion. These robots are humanity's last line of defense against mysterious beings known as Angels, which threaten the survival of the Earth. The series delves into psychological themes such as identity, depression, and the human condition, while blending action, mecha, and apocalyptic scenarios.

The anime Neon Genesis Evangelion consists of 26 episodes, originally airing from October 1995 to March 1996. Additionally, the series was followed by several films, including The End of Evangelion, which serves as an alternative ending to the story.","Contains psychological themes, existentialism, and intense action. Features violence and mature themes, including mental health struggles."
Noragami,"Action, Supernatural",Medium,"Noragami is a Japanese anime series based on the manga written by Adachitoka. The story centers around Yato, a lesser-known deity who dreams of becoming a popular god with a grand shrine. However, he's a bit of a troublemaker and often takes on odd jobs for small payments. His life changes when he encounters a high school girl named Hiyori Iki, who is saved by Yato from an accident, but her soul becomes detached from her body. Hiyori decides to help Yato with his work, and together they team up with a weapon spirit named Yukine. The series blends supernatural action, humor, and emotional depth as the characters navigate the afterlife and confront personal struggles.

The anime Noragami has 2 seasons:
Noragami (Season 1) – 12 episodes, aired from January to March 2014.
Noragami Aragoto (Season 2) – 13 episodes, aired from October to December 2015.
In total, there are 25 episodes across both seasons.","Features supernatural elements, violence, and themes surrounding gods and spirits. Some intense moments suitable for older teens."
One Piece,"Action, Adventure, Fantasy",Very Long,"One Piece is a long-running Japanese anime series based on the manga by Eiichiro Oda. The story follows Monkey D. Luffy, a young pirate with the ability to stretch his body like rubber after eating a magical fruit known as the ""Gomu Gomu no Mi."" Luffy sets out on a quest to find the legendary treasure known as the ""One Piece"" and become the Pirate King. Along the way, he forms a crew, the Straw Hat Pirates, each with unique abilities and dreams. The series is known for its epic adventures, humor, emotional depth, and intricate world-building as Luffy and his crew face powerful enemies and uncover secrets of the world.

As of December 2024, One Piece has aired over 1,050 episodes, and the series is ongoing, with new episodes released weekly.","Contains action, adventure, and themes of friendship and dreams. Some scenes may feature cartoonish violence and are generally family-friendly."
One Punch Man,"Action, Comedy",Medium,"One Punch Man is a Japanese anime based on the webcomic created by ONE and illustrated by Yusuke Murata. The series follows Saitama, an ordinary man who becomes an incredibly powerful hero capable of defeating any opponent with a single punch. Despite his overwhelming strength, Saitama grows bored and frustrated with the lack of real challenges. The anime explores his quest for a worthy opponent while parodying traditional superhero and shonen tropes. The series blends action, humor, and satirical commentary on the genre, with Saitama's overpowered nature creating both comedic and dramatic moments.

One Punch Man currently has 2 seasons:
One Punch Man (Season 1) – 12 episodes, aired from October to December 2015.
One Punch Man Season 2 – 12 episodes, aired from April to July 2019.
In total, there are 24 episodes across both seasons.",A satirical take on the superhero genre. Includes violence and comedy that is suitable for older teens and adults.
